media_name,media_url,stories_id,title,url
Hoy Chicago,http://www.chicagotribune.com/hoy/,2444284366,Afternoon Briefing: University of Chicago professor wins Nobel Prize,https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-oct-10-20221010-2adxssms2rb2dmhd6q4p5ht7da-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Marketwatch,https://www.marketwatch.com/,2444331502,Boston health officials are worried about levels of COVID found in wastewater,https://www.marketwatch.com/bulletins/redirect/go?g=%7BFF5FC8D1-C723-4E09-A3BA-01310EF89EA2%7D&siteid=bulletrss
The Insider -,http://www.ibabuzz.com/insider/,2444758119,Congenital syphilis rates soar across California as public health funding dwindles,https://www.eastbaytimes.com/2022/10/11/congenital-syphilis-rates-soar-across-california-as-public-health-funding-dwindles/
San Jose Mercury News,http://www.mercurynews.com/,2444758569,Congenital syphilis rates soar across California as public health funding dwindles,https://www.mercurynews.com/2022/10/11/congenital-syphilis-rates-soar-across-california-as-public-health-funding-dwindles/
Orange County Register,http://www.ocregister.com/,2444828801,Congenital syphilis rates soar across California as public health funding dwindles,https://www.ocregister.com/2022/10/11/congenital-syphilis-rates-soar-across-california-as-public-health-funding-dwindles/
Chicago Tribune,http://www.chicagotribune.com/,2444893945,Daywatch: Last call for late night?,https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter-101122-20221011-7ncwer224rdffjgwqlttiivitm-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Hoy Chicago,http://www.chicagotribune.com/hoy/,2444915700,Daywatch: Last call for late night?,https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter-101122-20221011-7ncwer224rdffjgwqlttiivitm-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Benzinga,http://www.benzinga.com,2444933677,"Why ForgeRock Shares Are Trading Higher By Over 49%, Here Are 50 Stocks Moving In Tuesday's Mid-Day Session",https://www.benzinga.com/news/22/10/29222870/why-forgerock-shares-are-trading-higher-by-over-49-here-are-50-stocks-moving-in-tuesdays-mid-day-ses
Hoy Chicago,http://www.chicagotribune.com/hoy/,2445086984,Afternoon Briefing: Latest Bears’ developments out of Arlington Heights,https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-oct-11-20221011-6b7b6q5csnaarlcogv3h4povja-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Chicago Tribune,http://www.chicagotribune.com/,2445091673,Afternoon Briefing: Latest Bears’ developments out of Arlington Heights,https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-oct-11-20221011-6b7b6q5csnaarlcogv3h4povja-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Roll Call,http://www.rollcall.com,2445242418,Monkeypox response looks to long term,https://www.rollcall.com/2022/10/11/monkeypox-response-looks-to-long-term/
Buzzfeed,http://www.buzzfeed.com,2445479542,23 Offensive Halloween Costumes I Don't Want To See Any Of Y'all In This Year,https://www.buzzfeed.com/hannahmarder/offensive-halloween-costumes
