frame,accuracy_run,accuracy_OG_run,accuracy_delta,precision_run,precision_OG_run,precision_delta,recall_run,recall_OG_run,recall_delta,f1_run,f1_OG_run,f1_delta,kappa_run,kappa_OG_run,kappa_delta
broader health issues,0.78,0.75,-0.030000000000000027,0.4666666666666667,0.3333333333333333,-0.13333333333333336,0.3333333333333333,0.19047619047619047,-0.14285714285714285,0.3888888888888889,0.24242424242424246,-0.14646464646464644,0.2592592592592593,0.10586552217453504,-0.15339373708472426
epidemic preparedness and surveillance,0.76,0.77,0.010000000000000009,0.5853658536585366,0.6818181818181818,0.09645232815964522,0.7741935483870968,0.4838709677419355,-0.29032258064516125,0.6666666666666666,0.5660377358490567,-0.10062893081760993,0.48475740661227995,0.41565040650406504,-0.06910700010821491
global relations,0.89,0.89,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.1,0.0,-0.1,0.15384615384615383,0.0,-0.15384615384615383,0.11290322580645151,-0.01851851851851838,-0.1314217443249699
human-interest stories,0.9,0.9,0.0,0.46153846153846156,0.4,-0.06153846153846154,0.6666666666666666,0.2222222222222222,-0.4444444444444444,0.5454545454545455,0.2857142857142857,-0.2597402597402598,0.49135300101729396,0.23664122137404586,-0.2547117796432481
public health failure,0.86,0.85,-0.010000000000000009,0.8571428571428571,0.7,-0.15714285714285714,0.3157894736842105,0.3684210526315789,0.05263157894736842,0.46153846153846156,0.48275862068965514,0.021220159151193574,0.40017137960582705,0.4047619047619049,0.004590525156077829
racial disparities and stigmatising name,0.9,0.89,-0.010000000000000009,0.6,0.6666666666666666,0.06666666666666665,0.5,0.16666666666666666,-0.33333333333333337,0.5454545454545454,0.26666666666666666,-0.27878787878787875,0.4897959183673469,0.22969187675070035,-0.2601040416166466
sexual stigma and transmission routes,0.72,0.79,0.07000000000000006,0.6041666666666666,0.7297297297297297,0.12556306306306309,0.7631578947368421,0.7105263157894737,-0.052631578947368474,0.6744186046511628,0.7200000000000001,0.04558139534883732,0.4345718901453959,0.5520477815699658,0.11747589142456993
