frame,accuracy_run,accuracy_OG_run,accuracy_delta,precision_run,precision_OG_run,precision_delta,recall_run,recall_OG_run,recall_delta,f1_run,f1_OG_run,f1_delta,kappa_run,kappa_OG_run,kappa_delta
broader health issues,0.78,0.75,-0.030000000000000027,0.4,0.42857142857142855,0.028571428571428525,0.09523809523809523,0.5714285714285714,0.47619047619047616,0.15384615384615385,0.48979591836734687,0.335949764521193,0.07949790794979072,0.3286788399570355,0.24918093200724478
epidemic preparedness and surveillance,0.71,0.75,0.040000000000000036,0.5294117647058824,0.6,0.07058823529411762,0.5806451612903226,0.5806451612903226,0.0,0.5538461538461539,0.5901639344262295,0.03631778058007562,0.33970856102003644,0.410377358490566,0.07066879747052957
global relations,0.83,0.9,0.07000000000000006,0.18181818181818182,0.0,-0.18181818181818182,0.2,0.0,-0.2,0.1904761904761905,0.0,-0.1904761904761905,0.09574468085106391,0.0,-0.09574468085106391
human-interest stories,0.87,0.93,0.06000000000000005,0.35714285714285715,0.75,0.39285714285714285,0.5555555555555556,0.3333333333333333,-0.22222222222222227,0.43478260869565216,0.46153846153846156,0.026755852842809402,0.365234375,0.4299674267100978,0.0647330517100978
public health failure,0.81,0.85,0.039999999999999925,0.5,0.8333333333333334,0.33333333333333337,0.21052631578947367,0.2631578947368421,0.05263157894736842,0.2962962962962963,0.39999999999999997,0.10370370370370369,0.20701168614357268,0.33978873239436613,0.13277704625079345
racial disparities and stigmatising name,0.84,0.95,0.10999999999999999,0.16666666666666666,0.7692307692307693,0.6025641025641026,0.08333333333333333,0.8333333333333334,0.75,0.1111111111111111,0.8,0.6888888888888889,0.033816425120772875,0.7714808043875685,0.7376643792667956
sexual stigma and transmission routes,0.75,0.79,0.040000000000000036,0.7096774193548387,0.6976744186046512,-0.012003000750187565,0.5789473684210527,0.7894736842105263,0.21052631578947367,0.6376811594202899,0.7407407407407408,0.1030595813204509,0.44982394366197176,0.5653973509933775,0.11557340733140575
