frame,accuracy_run,accuracy_OG_run,accuracy_delta,precision_run,precision_OG_run,precision_delta,recall_run,recall_OG_run,recall_delta,f1_run,f1_OG_run,f1_delta,kappa_run,kappa_OG_run,kappa_delta
broader health issues,0.75,0.79,0.040000000000000036,0.43333333333333335,0.5,0.06666666666666665,0.6190476190476191,0.23809523809523808,-0.380952380952381,0.5098039215686274,0.3225806451612903,-0.1872232764073371,0.34895833333333326,0.21641791044776115,-0.1325404228855721
epidemic preparedness and surveillance,0.73,0.8,0.07000000000000006,0.5476190476190477,0.7037037037037037,0.15608465608465605,0.7419354838709677,0.6129032258064516,-0.12903225806451613,0.6301369863013699,0.6551724137931035,0.025035427491733597,0.4250425894378195,0.5152690256907416,0.09022643625292215
global relations,0.82,0.87,0.050000000000000044,0.21428571428571427,0.3333333333333333,0.11904761904761904,0.3,0.3,0.0,0.25,0.3157894736842105,0.06578947368421051,0.15094339622641506,0.2441860465116279,0.09324265028521284
human-interest stories,0.92,0.94,0.019999999999999907,0.6,1.0,0.4,0.3333333333333333,0.3333333333333333,0.0,0.42857142857142855,0.5,0.07142857142857145,0.38931297709923673,0.47643979057591623,0.0871268134766795
public health failure,0.79,0.89,0.09999999999999998,0.4642857142857143,0.7857142857142857,0.3214285714285714,0.6842105263157895,0.5789473684210527,-0.10526315789473684,0.5531914893617021,0.6666666666666667,0.11347517730496459,0.42244224422442245,0.6026011560693642,0.1801589118449417
racial disparities and stigmatising name,0.52,0.9,0.38,0.14,0.625,0.485,0.5833333333333334,0.4166666666666667,-0.16666666666666669,0.22580645161290325,0.5,0.27419354838709675,0.040000000000000036,0.44690265486725655,0.4069026548672565
sexual stigma and transmission routes,0.72,0.82,0.09999999999999998,0.5925925925925926,0.7941176470588235,0.20152505446623092,0.8421052631578947,0.7105263157894737,-0.13157894736842102,0.6956521739130435,0.7499999999999999,0.05434782608695643,0.4505494505494505,0.610051993067591,0.15950254251814044
