,Frequency,Accuracy,Kappa,F1,Precision,Recall
sexual stigma and transmission routes,38,50.0,0.147,0.597,0.43,0.974
racial disparities and stigmatising name,12,95.0,0.754,0.783,0.818,0.75
global relations,10,25.0,0.038,0.211,0.118,1.0
public health failure,19,66.0,0.344,0.528,0.358,1.0
epidemic preparedness and surveillance,31,36.0,0.046,0.492,0.326,1.0
human-interest stories,9,93.0,0.628,0.667,0.583,0.778
broader health issues,21,72.0,0.375,0.548,0.415,0.81
mean,20.0,62.429,0.333,0.547,0.435,0.902
