,Frequency,Accuracy,Kappa,F1,Precision,Recall
sexual stigma and transmission routes,38,70.0,0.427,0.694,0.567,0.895
racial disparities and stigmatising name,12,95.0,0.786,0.815,0.733,0.917
global relations,10,69.0,0.217,0.34,0.216,0.8
public health failure,19,84.0,0.581,0.68,0.548,0.895
epidemic preparedness and surveillance,31,51.0,0.114,0.484,0.359,0.742
human-interest stories,9,72.0,0.257,0.364,0.229,0.889
broader health issues,21,73.0,0.389,0.557,0.425,0.81
mean,20.0,73.429,0.396,0.562,0.44,0.85
