,Frequency,Accuracy,Kappa,F1,Precision,Recall
sexual stigma and transmission routes,38,69.697,0.428,0.7,0.565,0.921
racial disparities and stigmatising name,12,93.939,0.751,0.786,0.688,0.917
global relations,10,80.808,0.245,0.345,0.263,0.5
public health failure,19,87.879,0.638,0.714,0.652,0.789
epidemic preparedness and surveillance,31,67.677,0.361,0.61,0.49,0.806
human-interest stories,9,90.909,0.353,0.4,0.5,0.333
broader health issues,21,76.0,0.45,0.6,0.462,0.857
mean,20.0,80.987,0.461,0.594,0.517,0.732
